date,DBC,EEM,EFA,FXE,FXY,GLD,IEF,IWM,QQQ,SHY,SPY,TLT,UUP
2016-03-16,-0.17568041503827683,-0.08656085248222699,-0.10970390126949331,-0.030983248571766476,0.14469716646651037,0.05839689665666495,0.16986374561506476,-0.11793114189862113,-0.019273337126364018,0.13888049704329827,-0.052814841097620524,0.12739107201963254,0.030983248571766476
2016-03-17,-0.16996352388737507,-0.08272941184963571,-0.11814266290560817,-0.014135806154210048,0.155827717733165,0.0821197348610238,0.16369941835468513,-0.12037249413679828,-0.039700020708330536,0.14956361220047507,-0.06676468190190671,0.13719038525191196,0.014135806154210048
2016-03-18,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-21,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-22,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-23,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-24,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-28,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-29,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-30,-0.16516678007837693,-0.07951465077603592,-0.12522318561719764,0.0,0.16516678007837693,0.10202432536047264,0.15852725435114268,-0.122420904876998,-0.05683898057722819,0.15852725435114268,-0.07846926237199567,0.1454124755171701,0.0
2016-03-31,-0.1472400464616905,-0.05195852424075817,-0.10803869946085595,0.0,0.16593612764305588,0.10713815730754202,0.16159755663659667,-0.10518019662123626,-0.037141200034446334,0.16159755663659667,-0.05127541945186431,0.13423593762680727,0.0
2016-04-01,-0.12931331284500408,-0.024402397705480416,-0.09085421330451426,0.0,0.16670547520773482,0.11225198925461138,0.16466785892205069,-0.08793948836547451,-0.01744341949166448,0.16466785892205069,-0.024081576531732953,0.12305939973644445,0.0
2016-04-04,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-05,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-06,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-07,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-08,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-11,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-12,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-13,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-14,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-15,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-18,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-19,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-20,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-21,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-22,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-25,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-26,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
