date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2012-05-18,-0.0072408048757957874,0.0,0.0,-0.0072408048757957874,-0.0072408048757957874,0.0,1.6927367230552472,0.6962013909455418,1.1851187662465605,1.1778156777374915
2012-05-21,0.009912288214985866,0.0,0.0,0.009912288214985866,0.009912288214985866,0.0,1.6927367230552472,0.6962013909455418,1.196866005026585,1.1894905261993545
2012-05-22,0.002055664077259821,0.0,0.0,0.002055664077259821,0.002055664077259821,0.0,1.6927367230552472,0.6962013909455418,1.1993263594784114,1.1919357191443034
2012-05-23,0.0028022921337342455,0.0,0.0,0.0028022921337342455,0.0028022921337342455,0.0,1.6927367230552472,0.6962013909455418,1.2026872223013578,1.1952758712339784
2012-05-24,-0.0007050791355431474,0.0,0.0,-0.0007050791355431474,-0.0007050791355431474,0.0,1.6927367230552472,0.6962013909455418,1.2018392326343288,1.194433107155953
2012-05-25,0.00102500795425014,0.0,0.0,0.00102500795425014,0.00102500795425014,0.0,1.6927367230552472,0.6962013909455418,1.203071127407509,1.1956574105916078
2012-05-29,0.005000845244656737,0.0,0.0,0.005000845244656737,0.005000845244656737,0.0,1.6927367230552472,0.6962013909455418,1.2090874999339887,1.2016367082676036
2012-05-30,0.003259188496555744,0.0,0.0,0.003259188496555744,0.003259188496555744,0.0,1.6927367230552472,0.6962013909455418,1.213028144005103,1.2055530688042286
2012-05-31,-0.0004404152594893059,2.657934252822095e-05,7.973802758466285e-05,-0.00046699460201752685,-0.0005201532870739687,0.15,1.7235309702031802,0.6487275633100414,1.2124616664097572,1.204925996412748
2012-06-01,-0.006086299853476923,2.657934252822095e-05,7.973802758466287e-05,-0.006112879196005143,-0.006166037881061586,0.15000000000000002,1.7543252173511128,0.6012537356745413,1.2050500347132074,1.197496377074991
2012-06-04,-0.0031301024315340898,2.657934252822095e-05,7.973802758466285e-05,-0.003156681774062311,-0.003209840459118753,0.14999999999999997,1.7851194644990453,0.5537799080390412,1.201246075231795,1.1936526047542075
2012-06-05,0.0004926072082286157,2.6579342528220943e-05,7.973802758466285e-05,0.00046602786570039477,0.0004128691806439529,0.15000000000000002,1.8159137116469783,0.5063060804035411,1.2018058893764165,1.194145427127106
2012-06-06,-0.0043736613494480495,2.6579342528220954e-05,7.973802758466287e-05,-0.00440024069197627,-0.004453399377032713,0.15,1.846707958794911,0.45883225276804096,1.1965176541981257,1.1888274206258516
