crisis,start,end,net_return,gross_return_sum,base_cost_drag,stressed_cost_drag,max_drawdown,avg_turnover,max_turnover,avg_gross_leverage,max_gross_leverage,avg_net_exposure,pnl_class_Commodity,pnl_class_Equity,pnl_class_FX,pnl_class_Rates,pnl_asset_DBC,avg_weight_DBC,pnl_asset_EEM,avg_weight_EEM,pnl_asset_EFA,avg_weight_EFA,pnl_asset_FXE,avg_weight_FXE,pnl_asset_FXY,avg_weight_FXY,pnl_asset_GLD,avg_weight_GLD,pnl_asset_IEF,avg_weight_IEF,pnl_asset_IWM,avg_weight_IWM,pnl_asset_QQQ,avg_weight_QQQ,pnl_asset_SHY,avg_weight_SHY,pnl_asset_SPY,avg_weight_SPY,pnl_asset_TLT,avg_weight_TLT,pnl_asset_UUP,avg_weight_UUP
Global financial crisis,2008-09-01,2009-03-31,0.04299526185369862,0.04862227580047458,0.00021845830477002797,0.0006553749143100838,-0.07364637125025741,0.011216803512155718,0.15000000000000002,0.4140096539983747,0.8160908933862578,0.10841273430893066,-0.0015347187721794326,0.03718567506917462,0.0007056363381215862,0.012265683165357765,0.00507643978811082,-0.016112142554439608,0.0028123483544217113,-0.01863073354284336,0.01056365866507146,-0.024841022878788883,-0.005505067140460096,-0.01606265073093458,0.0038989952350976407,0.048738515647925744,-0.006611158560290254,-0.0010500362118021698,0.00448489318406253,0.05743112872592097,0.0062398048550478015,-0.017927272360969138,0.006526627927520777,-0.02622625676234593,0.0017053380201684128,0.05743112872592097,0.011043235267112867,-0.028391441695615444,0.006075451961126821,0.05412501404241226,0.002311708243484042,0.03992850390448985
Eurozone crisis,2011-07-01,2011-12-31,-0.0023782024284745296,0.0014922196668730287,0.00037398346633159686,0.0011219503989947904,-0.09797391420671286,0.01788314775920239,0.15000000000000008,1.2631628315377699,1.5797743978606569,0.7974554034045577,0.009168823444603104,-0.0532539991171974,-0.014113214893087842,0.05969061023255517,-0.007160149934073141,0.028975207602907976,-0.0054980564105809576,-0.04000787167005705,-0.011057971315119512,-0.013395874945290657,-0.012039866794121536,0.033229060851810946,0.007137742248606585,0.16800447623937823,0.016328973378676243,0.14156069202246335,0.020208504953087916,0.1731965689816918,-0.01790859562381853,0.018554461902740033,-0.0036902990955321024,0.034921243133809475,0.0011544244614136424,0.1731965689816918,-0.015099076672146307,0.032639047663694715,0.0383276808180536,0.13364247926807904,-0.009211090347572887,-0.08706065662836233
Covid shock,2020-02-15,2020-04-30,-0.09325898715020031,-0.08259303504448652,0.0003081281147161827,0.0009243843441485481,-0.21729016012506064,0.03728593320255422,0.15000000000000002,1.6363118533211574,1.9999999999999996,1.0494088579279808,0.018443614308733917,-0.1569565609928374,-0.00033028708838225927,0.05625019872799925,0.004067764028039316,-0.02899237560573718,-0.02766168317605658,0.06905923233056253,-0.03200965069672151,0.0738315990764583,-0.0017970672496063747,-0.19227904257995798,-0.0005407879307970261,-0.026604756729550642,0.014375850280694602,0.18814061948664015,0.01611215827029092,0.18225374121090368,-0.049545270342711355,0.07588238652772417,-0.018855948826270102,0.08562199081172009,0.005162825379779769,0.18225374121090368,-0.028884007951077872,0.07737525296074219,0.03497521507792856,0.17058742664761375,0.002007568092021143,0.19227904257995798
Inflation/rates shock,2022-01-01,2022-12-31,0.13300717167495613,0.13358645478650938,0.0006737646634053206,0.0020212939902159617,-0.10653165176932355,0.0181539371143588,0.15000000000000005,1.31938194903623,1.6323671167005356,-0.670166594029096,0.027187541483965835,-0.02259640431276355,0.05741523073463237,0.07158008688067467,0.03936332262582227,0.09466136388646246,0.01900064054538057,-0.08015168838048196,0.00037184854051443457,-0.06887211383440495,0.014554150289298877,-0.14787511752561455,0.02516046180676724,-0.15057159975648785,-0.012175781141856435,0.003552159287559627,0.02475104848754143,-0.1375724186169683,-0.0032945463824654584,-0.04378536652691151,-0.023646641505543034,-0.013819338421967826,0.007631831243470928,-0.15581644544711978,-0.015027705510650052,-0.0089006506208458,0.039197207149662294,-0.11158697782880336,0.017700618638566257,0.15057159975648785
Banking stress,2023-03-01,2023-04-30,-0.02905970213186959,-0.028838201442081428,0.00034808132599033214,0.0010442439779709965,-0.040433789397098296,0.0690976376307896,0.15000000000000002,0.8130335268724134,0.9089388808303344,-0.3897648100293899,0.0026767732205130335,-0.004991918511543886,0.00036233689110366264,-0.02688539304215424,0.004063712944617788,-0.05078348233689155,-0.002223126141993143,-0.06507456063610557,0.0006359204403635838,0.0056867891031261945,0.00036233689110366264,0.00842325141051733,0.0,0.0,-0.0013869397241047547,0.0963505548973657,-0.011421529214709205,-0.14402414920773093,0.0011134015885040035,-0.05118022183768868,-0.00451811439841833,-0.007962093681634898,-0.0045214188459737695,-0.05771249243095176,0.0,0.0,-0.010942444981471264,-0.1234884053093957,0.0,0.0
