,year,annual_return,annual_vol,sharpe,max_drawdown,turnover,avg_gross_leverage
0,2007,0.0,0.0,,0.0,0.0,0.0
1,2008,0.04734742710221296,0.10760991834752673,0.43999129289648026,-0.07364637125025741,1.4761648879939893,0.15269259897049742
2,2009,0.022504215069938382,0.08788589842844,0.25606172858620957,-0.0642110346471606,4.5354074825220065,0.8421164601037486
3,2010,0.06880010322200025,0.14382545074266534,0.4783583355153076,-0.10972381761387828,6.764689228395448,1.4397255949205665
4,2011,0.06009865589811714,0.12387413206550821,0.48515904730081366,-0.09797391420671364,4.84375759664555,1.3739998458993972
5,2012,-0.035141120009521964,0.09396384451692072,-0.373985549337478,-0.10326245118090482,9.348924122380911,1.7187162744096696
6,2013,0.29141084129779804,0.11048734067345489,2.6375043468469586,-0.06295666611853912,6.542894703022319,1.883373582801954
7,2014,0.10509745986629015,0.09317127198075885,1.1280028449970525,-0.06178764795423919,8.85162962695212,1.8172289855532326
8,2015,0.06370180610975917,0.11220072958338545,0.5677485908183618,-0.07354687763975876,7.377388534912154,1.8440219532290376
9,2016,-0.08062616288275737,0.10220348559156568,-0.7888787981748738,-0.10571104667504871,9.231002946497092,1.559683395391253
10,2017,0.13910920526931747,0.07733496312530352,1.798788020935925,-0.038656998802463094,7.966776992802446,1.6116416497866117
11,2018,0.02364220590882793,0.11916246524826925,0.198403128531879,-0.09602524921731737,9.808028531946285,1.7852544396226102
12,2019,0.0036641585447894087,0.07298246937315064,0.0502060094192621,-0.08304933387662583,7.078834437609791,1.7789995836110089
13,2020,0.01966571202896117,0.19737917437429514,0.09963417919495691,-0.21729016012506075,7.32780608942573,1.582207235173846
14,2021,0.09823073679268712,0.12612101739941556,0.7788609608309608,-0.06683303768299331,7.628985674536815,1.5792368623918889
15,2022,0.133570995678165,0.126854102879693,1.0529497481436783,-0.10653165176932355,4.574792152818417,1.31938194903623
16,2023,-0.029323854591840837,0.0802850960805821,-0.3652465528895737,-0.07044864344740609,10.786775409095524,1.2724238613630108
17,2024,0.14357128780151607,0.11256267656382812,1.27547862385899,-0.10319113667111668,5.958251913042235,1.8659423536232567
18,2025,0.13833423280123913,0.14855368119285908,0.9312070336489837,-0.1572193472339597,9.556525846102744,1.785843377443834
19,2026,0.31252251973436995,0.14454721770359147,2.162079109507515,-0.07013058142237794,3.9826935076547234,1.634272657746347
