cost_multiplier,annual_return,annual_vol,sharpe,max_drawdown,total_cost_drag
1,0.0662952203912266,0.11487689066217897,0.5770979699144402,-0.22757940167015678,0.020352021185974217
3,0.06404179335461091,0.11487897931459223,0.557471817182799,-0.23232184382044918,0.06105606355792263
5,0.06179302471748849,0.11488176479693822,0.5378836652336609,-0.23703539915905814,0.10176010592987107
10,0.05619142187726922,0.1148917767699522,0.4890813203261823,-0.24869405061853822,0.20352021185974215
