signal_lookbacks,vol_lookback_days,full_sharpe,is_sharpe,oos_sharpe,oos_max_drawdown,oos_annual_return,oos_annual_vol,oos_turnover
"(63,)",21,0.44913932545653357,0.5196626275762869,0.38078133313810847,-0.2948751373858651,0.04709698376241889,0.12368511705729263,11.441243590139045
"(63,)",63,0.46239546635478035,0.5994581581987825,0.33213316318602626,-0.3040074485823856,0.041363914746299635,0.124540152357902,10.740509587920538
"(63,)",126,0.3851940978896146,0.49232481988601134,0.2814256495196589,-0.3128102060104955,0.03532249856845038,0.12551271935852076,10.744131733017303
"(126,)",21,0.4745841917745682,0.34807308188664726,0.5951530429126362,-0.21807497359260064,0.07238863054273836,0.1216302788077393,8.762752073382508
"(126,)",63,0.4870794014478384,0.3306963669011721,0.6395855462544531,-0.217378535701234,0.07701207034634239,0.12040933507228424,8.102297016389732
"(126,)",126,0.5008153878386777,0.39745480758168733,0.6029860045488623,-0.21396480439786647,0.0731681893641809,0.12134309720658168,7.714193719608317
"(252,)",21,0.4026521621850843,0.3032617650858406,0.4937605064308675,-0.288380824773808,0.06103728677790632,0.12361719089101,7.481983652722518
"(252,)",63,0.3935765159333787,0.25047178553792887,0.5222523889539757,-0.29631161134374295,0.06482595493299304,0.12412763695123262,6.8965531343544155
"(252,)",126,0.35906131628548454,0.2601251819268386,0.44936019200780986,-0.30566636870217845,0.05660092840280706,0.125958928738003,6.550023971245388
"(63, 126, 252)",21,0.5788891336674453,0.5200882241840563,0.6357795330954823,-0.2180264328734175,0.07868127896890909,0.12375560217521601,8.37422950314441
"(63, 126, 252)",63,0.5770979699144402,0.48898301579439335,0.6604734801769593,-0.22757940167015722,0.08229244714019757,0.1245961414198631,7.675604739198089
"(63, 126, 252)",126,0.5483505358397187,0.47860562268444007,0.6158456386545018,-0.23960480485446778,0.07746539627056581,0.12578703397138938,7.421249084471262
